Uniq Id;Category;Product Title;Brand;Mrp;Price;Offers;Stock Availability
3ac3f213732512d1d11bb73ab3b1900f;Grocery & Gourmet Foods;Harveys Crunchy & Creame Gourmet Delicacies Cream Wafer Biscuit 110 g Pouch Pack - Chocolate Flavoured (Pack of 6);Harveys;594;570;4.04%;true
a679bd6e1ed06554b42c9d4bc5bf3899;Grocery & Gourmet Foods;Kamdaar Dry Fruits Roseberry Plum Weight 250 Grams Pineapple Ring Weight 250 Grams;KAMDAR DRY FRUITS;950;650;31.58%;true
374ef0b2dc86f5f9baf0fb013ab4ab99;Skin Care; NUBIAN HERITAGE BODY WASH ;NUBIAN;4544;4544;0 %;true
2a2a900c4b9112a0157279e7b0ec43e0;Skin Care;Generic 8000Rpm Micro Vibration Massage Comb Electric Head Massager;Generic;2206;1651;25.16%;true
a29704747d62747acb0a7466fba4f9e9;Skin Care;Beauche Kojic Beauty Soap Bar-90Grams;Beauche International;3299;1033;68.69%;true
1da2e7e1689b4770449da46c4b0094f3;Skin Care;"Innisfree Black Green-Tea Serum 50ml "" 2016 New Product """;Innisfree;4091;4091;0 %;true
f8a030923ea8e1bceb845b5f5aa4e531;Skin Care;Stockout SEPHORA COLLECTION Colorful Shadow & Liner - COLOR: 15 Purple - Shimmer finish;Stockout;11097;3699;66.67%;true
d3dc01d74b62d77e553446bb45940f87;Bath & Shower;Greenwood Essential Pure Turmeric Essential Oil, Curcuma Longa, 15 ml;Greenwood Essential;374;207;44.65%;true
ba21ee7182bbc08eb0a82ae2e363855e;Skin Care; Detox Mask ;ApplyTwice;2000;1499;25.05%;true
0ff6f31bc16523bbb6c9ded0d4df32b1;Bath & Shower;SOS Organics Natural Shaving Bar, 100 gm, Pack of 2;SOS Organics;340;340;0 %;true
deb1658d991b425650af5953e1a544dd;Skin Care;PINK PLUMS Neem-Tulsi with Vitamin E Massage Cream 250 ml;PINK PLUMS;999;179;82.08%;true
367fdc141ec9b8121e770f26d3e77c03;Grocery & Gourmet Foods;Dadi Basmati Rice Supreme, 1000 grams;Dadi;245;245;0 %;true
9cefa5b902cb0765c09c9ea81104d42b;Grocery & Gourmet Foods;Midiron Happy Friendship Day Quoted Printed Coffee Mug with 15 Piece Gold Chocolate for Best Friend;Midiron;999;399;60.06%;true
5029ab0b1af21904fc60942eeb8d870c;Fragrance;Exotix Fragrance Chandan and Black Rose Attar combo pack of 25ml Each Long Lasting Perfume;Exotix Fragrance;1499;888;40.76%;true
b4a99c9083e9ee24c456ca61f9a384df;Grocery & Gourmet Foods;Twizzlers Twists, Strawberry Flavored Licorice Candy, 16 Ounce Bag (Pack Of 6);Twizzlers;6400;6400;0 %;true
7880fa31a8f0d3ff5be3f581dc8f5e58;Skin Care;Armaf Eternia Perfume Body Spray for Men - 200ml;ARMAF;299;295;1.34%;true
074a7aec96cc5017099765c7f1df3010;Skin Care;Dionis Goat Milk Skincare - Lotion, 8.5 oz., Vanilla Bean;Dionis;3974;3179;20.01%;true
98cbb7b0611dd7d13160ed768dcb12a9;Grocery & Gourmet Foods;Valentine Gifts for Boyfriend, Luxury Chocolates, DeArco Chocolatier Luxuriant 253 G;De'Arco Chocolatier;2199;2199;0 %;true
dfb803f526473074012a285630de2b7e;Skin Care;ECO AMENITIES Transparent Tube Flip Cap Individually Wrapped 30ml Body Lotion, 72 Tubes per Case;Nvey Eco;5036;5036;0 %;true
66bc998ca30c018789eb07192d1bb66d;Grocery & Gourmet Foods;Dhanvanthaari Curry Leaves Powder, 100 Grams (Pack of 2);Dhanvanthaari;220;198;10.0%;true
3dc0d72827f33fdbca0c2ff083423208;Skin Care;[Innisfree] Soybean Energy Essence Light 150ml;Innisfree;5166;3089;40.21%;true
b1fed3cdb963fe48885d9540e4c44ed2;Grocery & Gourmet Foods;Dried Apricot khurmani, 250GM;Miltop;291;275;5.5%;true
4941bb1f448f4d00be75706c62429136;Skin Care;Aveeno Moisturizing Bar for Dry Skin 3 Oz (Pack of 4);Aveeno;5799;3595;38.01%;true
7c954e6be8eb239fee0bd24ddc278f98;Fragrance; Coach New York Platinum Eau de Parfum and All Over Shower Gel Gift Set ; ;4475;4475;0 %;true
bd349d360d407b6f624ddc1744726266;Skin Care;BAW Aloe : Collagen Essence Facial Mask Sheet 3D Moisture Face Mask Pack Skin Care;BAW;568;568;0 %;true
7dd9aa107ed3c9335cfde5add16ed16b;Skin Care;[ALPINE REMEDY] Blooming Cream 50ml - BEST Korea Cosmetic;ALPINE REMEDY;4128;3292;20.25%;true
fb5f58e96d3ad0f614c3205d484236e6;Grocery & Gourmet Foods;Wonderland Foods Roasted & Salted Cashews 200g Box;Wonderland;360;311;13.61%;true
5782bea6213fc3998f3be9d0574e34a6;Skin Care;Bekind Rose Flower Powder, 40 g (Pack of 4);Bekind;492;292;40.65%;true
f5ec9e8514678a7b825013ba12f67317;Skin Care; XIMI VOGUE Aloe Facial Cleanser ;XIMI VOGUE;1999;574;71.29%;true
;;;;1;1;;false
9f5d05c34ef35f578fa46789d8b1510f;Skin Care;Hydra Repulp Rehydrating & Revitalising Hyaluronic Grape Flower Essence (Salon Size) 25ml;Ella Bache;9929;7647;22.98%;true
84b7b537543992f1a138dcd3e2e009c0;Skin Care; Java Portable Face Lift Massage Roller Flower Shape Elastic Anti Wrinkle massager ;Java;799;399;50.06%;true
33df63d0abc9cb54b4d659d5b7b02791;Bath & Shower; FidgetGear Wooden Christmas Series Hanging Pendant with Luminous Nose for Xmas Decoration B Old Man ;FidgetGear;645;514;20.43%;true
5e9b16edc612d183dc25f1b5a5e74625;Grocery & Gourmet Foods;Nature N Nature Gold Coin Milk Choco Chocolates - 350 Grams;NATURE N NATURE;600;489;18.5%;true
